store_name,address,city,state,zip_code,phone_number,email,website
New U Women‚Äôs Clinic & Aesthetics - Yakima,"2407 W WASHINGTON AVE, AVE # C",YAKIMA,WA,98903-2519,(509) 491-1944,,
"FLO Infusions, LLC",1020 S 40TH AVE,YAKIMA,WA,98908-3800,(509) 490-0162,tina@floinfusions.com,
Soma Aesthetics,"6101 SUMMITVIEW AVE, STE 140",YAKIMA,WA,98908-3028,(509) 260-8404,alissa@somaaesthetics.com,
New U Women’s Clinic & Aesthetics Kennewick,10973 W 10TH AVE,KENNEWICK,WA,99336-4420,(509) 491-1944,rachel@newuwomensclinic.com,
Synergy MedAesthetics,"921 SEATTLE SLEW RUN, STE B",YAKIMA,WA,98908-2462,(509) 504-3477,invoices@weramp.com,
Columbia Shores Regenerative Health,138 KEENE RD,RICHLAND,WA,99352-8683,(509) 572-2130,info@columbiashoresrh.com,
Sculpt Tri-Cities,"8503 W. Clearwater Ave, Suite C",Kennewick,WA,99336,(509) 579-0089,sculptinternational@gmail.com,
Synergy MedAesthetics,"3600 S ZINTEL WAY, STE B",KENNEWICK,WA,99337-3500,(509) 396-6543,,
Revive Wellness,"8656 W GAGE BLVD, STE B203",KENNEWICK,WA,99336-7145,(509) 572-4794,nichole.green@revivewellnessllc.org,
Synergy MedAesthetics - Kennewick,"4504 W 26TH AVE, STE 130",KENNEWICK,WA,99338-1862,(509) 222-8022,invoices@weramp.com,
Complete Health Care for Women,1045 Jadwin Avenue,Richland,WA,99352,(907) 252-4055,,
Next Door Wellness,"5908 BEDFORD ST, STE A",PASCO,WA,99301-6605,(509) 567-5467,tatiana@nextdoor-wellness.com,
Wright Surgical Arts,"5908 BEDFORD ST, STE C",PASCO,WA,99301-6605,(509) 792-1404,surgery@wrightsurgicalarts.com,
True Dermatology,7101 Westhood Pl A101,Kennewick,WA,99336,(509) 581-3100,Melanie@truedermtc.com,
Redefined Beauty,3069 NW ALDER PL,REDMOND,OR,97756-6913,(503) 290-4028,katie.redefinedbeauty@gmail.com,
Aesthetic NP,21851 NE COUCH ST,GRESHAM,OR,97030-8548,(928) 279-7612,aestheticnprx@gmail.com,
Enhanced Aesthetics by Sam,1515 NE VILLAGE ST,FAIRVIEW,OR,97024-3825,(503) 610-9282,,
Body Balance Health and Aesthetic Medicine,"1905 SE 192ND AVE, STE 201",CAMAS,WA,98607-7415,(360) 747-2000,alanaberdiyev@bodybalancemed.com,
Skin by Lovely - Camas,"19120 SE 34TH ST, STE 202",VANCOUVER,WA,98683-1429,(877) 568-3594,operations@skinbylovely.com,
Pura Skincare - Happy Valley,"12930 SE 162ND AVE, STE 103",HAPPY VALLEY,OR,97086-4744,(503) 583-3148,maria@purapdx.com,
Skintique Studio,15733 SE HAPPY VALLEY TOWN CENTER DR,HAPPY VALLEY,OR,97086-4251,(503) 878-5882,skintiquestudio@gmail.com,
Cascade Aesthetics,"16500 SE 15TH ST, STE 100",VANCOUVER,WA,98683-9666,(360) 254-4402,sherfc@comcast.net,
Vitality Aesthetics,12052 SE SUNNYSIDE RD,CLACKAMAS,OR,97015-8382,(503) 698-4566,vitalitybycheryl@gmail.com,
Aesthetic Breast & Cosmetic Surgery Center,"10201 SE MAIN ST, STE 20",PORTLAND,OR,97216-2937,(503) 897-8999,natalie@abcsurgerycenter.com,
Pacific Northwest Aesthetics Academy,"7820 NE HOLMAN ST, STE B9",PORTLAND,OR,97218-2859,(971) 242-8750,,
Medical Rejuvenation,"15 82nd DR, Unit 230, FL 2",Gladstone,OR,97027,(503) 421-9271,medjuvscott@gmail.com,
Luminique Aesthetics,802 7TH ST,OREGON CITY,OR,97045-2324,(503) 999-3738,layla@luminiqueaesthetics.com,
Oregon Aesthetics,207 8TH ST,OREGON CITY,OR,97045-1840,(503) 305-6010,info@oregonaesthetics.com,
Aesthetics Institute,2245 SE POWELL BLVD,PORTLAND,OR,97202-2143,(503) 238-1793,monique@aiofportland.com,
Aiyana Aesthetics,"103 E MAIN ST, STE 3",MOLALLA,OR,97038-8132,(503) 882-0007,contact@AIYANAaesthetics.com,
Lume Med Spa,18603 WILLAMETTE DR,WEST LINN,OR,97068-1705,(971) 235-2601,lumemedspa@gmail.com,
West Linn Aesthetics,"1980 WILLAMETTE FALLS DR, STE 130",WEST LINN,OR,97068-4674,(503) 723-9425,westlinnskin@gmail.com,
SkinSpirit-Lake Oswego,"220 A AVE, STE 100",LAKE OSWEGO,OR,97034-3197,(971) 396-4300,accountspayable@skinspirit.com,
Vim + Vigor Clinic for Optimal Health,"6915 S MACADAM AVE, STE 100",PORTLAND,OR,97219-2381,(503) 339-2444,drhubbs@vimandvigorclinic.com,
Evolve Aesthetics and Wellness - Vancouver,"330 E MILL PLAIN BLVD, STE 401",VANCOUVER,WA,98660-2896,(360) 726-4399,,
