code,name,zipcode,zipcode_address,latitude,longitude,contact_email,shippingEmail,billing_phone,contact_phone,billing_street_address_1,billing_city,billing_province,billing_postal_code,billing_country,clinic_street_address_1,clinic_street_address_2,clinic_city,clinic_province,clinic_country,clinic_postal_code,website,is_diamond_provider,reward_tier_name,reward_tier_number,reward_tier_rank,digital_excellence,hide_from_clinic_locator,distance_in_km
7FAH2KP6,Skin Wellness Dermatology - Greystone,35242,"Birmingham, AL 35242, USA",33.416553,-86.681252,melder@skinwellness.com,melder@skinwellness.com,2058717332,2058717332,3415 Independence Drive,Birmingham,AL,35209,US,5406 US-280,Suite A-100,Birmingham,AL,US,35242,https://skinwellness.com/,no,partner,1,6,yes,no,123.86009075220316
BMMVXET6,The Dermatology and Skin Care Center of Birmingham,35243,"Mountain Brook, AL 35243, USA",33.451485,-86.731575,llowery@bhamdermatology.com,llowery@bhamdermatology.com,2059783336,2059783336,2470 Rocky Ridge Road,Birmingham,AL,35243,US,2470 Rocky Ridge Road,,Birmingham,AL,US,35243,https://www.bhamdermatology.com/,no,partner,1,6,no,no,127.01604360534516
TWGQ34PV,Skin Wellness Dermatology,35209,"Birmingham, AL 35209, USA",33.470238,-86.806969,drhartman@skinwellness.com,info@skinwellness.com,2058717332,2058717332,3415 Independence Dr,Birmingham,AL,35209,US,3415 Independence Drive,,Birmingham,AL,US,35209,https://skinwellness.com/,no,partner,1,7,yes,no,128.4058068777486
DMSKNK4C,Cellular Health,31833,"West Point, GA 31833, USA",32.825031,-85.085678,missprickbotox@gmail.com,Missprickbotox@gmail.com,7065182223,7707797177,813 3rd Ave,West Point,GA,31833,US,813 3rd Ave,,West Point ,GA,US,31833,http://cellular.health/,no,partner,1,6,no,no,179.3101965231269
C4ZW5NXT,Testimony Restorative Aesthetics + Wellness,31901,"Columbus, GA 31901, USA",32.466022,-84.986954,toxicbybritt@gmail.com,toxicbybritt@gmail.com,7627443457,7627443457,1329 Front Avenue,Columbus,GA,31901,US,1329 Front Avenue,Suite E,Columbus,GA,US,31901,testimonyraw.com,no,silver,4,4,yes,no,180.58413420185224
SDDYWKL5,Drip Lounge and Wellness,36571,"Saraland, AL 36571, USA",30.824253,-88.080307,estradaashley95@yahoo.com,estradaashley95@yahoo.com,2517650418,2517650418,18 CM Rambo Dr,Saraland,AL,36571,US,18 CM Rambo Dr,Suite A,Saraland,AL,US,36571,http://driploungewellness.com/,no,partner,1,6,no,no,200.1243717301499
M8UZBC2J,Southeast Regional Med Spa Newnan,30265,"Newnan, GA 30265, USA",33.393158,-84.710655,buce2016@yahoo.com,Buce2016@yahoo.com,4702791301,4702791301,20 Baker Rd,Newnan,GA,30265,US,20 Baker Rd,Suite 4,Newnan,GA,US,30265,https://sermedspa.com/,no,no_tier,0,99,no,no,237.04684174061768
NXR2H7TH,Sweet Life Services Inc. DBA Simply Sweet Skin Aesthetic Wellness,30277,"Sharpsburg, GA 30277, USA",33.379738,-84.658371,office@simplysweetskin.com,office@simplysweetskin.com,4709807997,4709807997,15 Thomas Grace Annex Ln,Sharpsburg,GA,30277,US,15 Thomas Grace Annex Ln,Ste 100,Sharpsburg,GA,US,30277,https://www.simplysweetskin.com,no,no_tier,0,99,no,no,240.55471638090972
FPS5CW8E,Salt MedSpa of Fayette,30214,"Fayetteville, GA 30214, USA",33.473499,-84.501244,Audrey@saltmedspa.com,Audrey@saltmedspa.com,6789647258,6789647258,128 Sumner Rd,Fayetteville,GA,30214,US,128 Sumner Rd,,Fayetteville,GA,US,30214,,no,no_tier,0,99,no,no,258.36161314534723
UX6GJl21,"Truffles, LLC",30214,"Fayetteville, GA 30214, USA",33.473499,-84.501244,info@trufflesaesthetics.com,info@trufflesaesthetics.com,7704602000,7704602000,874 W Lanier Ave,Fayetteville,GA,30214,US,874 W Lanier Ave,120,Fayetteville,GA,US,30214,https://www.instagram.com/trufflesaesthetics,no,partner,2,6,yes,no,258.36161314534723
JG2AYY2Q,Aesthetics of Fayetteville,30214,"Fayetteville, GA 30214, USA",33.473499,-84.501244,info@aestheticsoffay.com,info@aestheticsoffay.com,3212232836,3212232836,376 Glynn Street N,Fayetteville,GA,30214,US,376 Glynn Street N,,Fayetteville,GA,US,30214,,no,no_tier,0,99,no,no,258.36161314534723
QRMG66CE,Regional Eye Center,31709,"Americus, GA 31709, USA",32.06324,-84.164619,shannon@regionaleyecenter.com,shannon@regionaleyecenter.com,2299420203,2299420203,1119 E Lamar St,Americus,GA,31709,US,1119 East Lamar Street,,Americus,GA,US,31709,http://regionaleyecenter.com/,no,partner,1,6,no,no,259.16859800195687
MUXXMCOW,SoftLife Medspa and Wellness,30141,"Hiram, GA 30141, USA",33.853767,-84.783775,Ladhiambo@softlifemedspa.com,Ladhiambo@softlifemedspa.com,4046152261,4046152261,5604 Wendy Bagwell Pkwy Suite 111,Hiram,GA,30141,US,"5604 Wendy Bagwell Parkway, Suite 111",,Hiram,GA,US,30141,SoftLifemedspa.com,no,no_tier,0,99,no,no,260.96401932503454
M2UFYLB8,Georgia Wellness Solutions,30224,"Griffin, GA 30224, USA",33.204292,-84.238419,drvu@vudomedicine.com,drvu@vudomedicine.com,6783269934,6783269934,100 Pecan Point,Griffin,GA,30224,US,100 Pecan Point,STE A,Griffin,GA,US,30224,https://www.vudomedicine.com/,no,partner,1,6,no,no,267.85819358078265
a81czMZc,The Lash Cauldron,30228,"Hampton, GA 30228, USA",33.419315,-84.291077,info.lashcauldron@gmail.com,info.lashcauldron@gmail.com,4044298964,4044298964,4824 Fieldgreen Dr,Stone Mountain,GA,30088,US,2370 Jonesboro Rd,,Hampton,GA,US,30228,https://www.instagram.com/cauldron_esthetics?igsh=MTBxNDE2eXBlNmphaw%3D%3D,no,partner,1,6,yes,no,272.8682076293994
C7G5G24P,Infuse Aesthetics and Wellness,39819,"Bainbridge, GA 39819, USA",30.807682,-84.626984,brittney@infuseaw.com,brittney@infuseaw.com,2292207755,2292207755,721 E Shotwell St,Bainbridge,GA,39819,US,721 E Shotwell St,,Bainbridge,GA,US,39819,https://www.infuseaw.com/,no,partner,1,7,no,no,273.27172056406926
EHNLG6JV,The Luxe Medspa,30127,"5041 Dallas Hwy Bldg 500, STE 508, Powder Springs, 30127, GA, US",33.941841,-84.697998,info@theluxemedspa.com,info@theluxemedspa.com,7702037480,,5041 Dallas Hwy Bldg 500,Powder Springs,GA,30127,US,5041 Dallas Hwy Bldg 500,STE 508,Powder Springs,GA,US,30127,https://theluxemedspa.store/,no,bronze,2,5,yes,no,273.3445392376688
URAG32ZU,Sol DPC,30344,"Atlanta, GA 30344, USA",33.683216,-84.448769,michelle.cooke@sol-dpc.org,blwilliams@sol-dpc.org,4708393129,4708393129,2860 Church Street,East Point,GA,30344,US,2860 Church Street,,East Point,GA,US,30344,http://www.sol-dpc.org/,no,no_tier,0,99,no,no,274.5542684870528
GSRWNZXW,SKIN AGENCY LLC,30120,"Euharlee, GA 30120, USA",34.15778,-84.87764,skinagencyllc@gmail.com,skinagencyllc@gmail.com,7707107064,7707107064,49 Mountainbrook Dr NW,Cartersville,GA,30121,US,10 Hamilton Blvd NW,STE G,Cartersville,GA,US,30120,https://www.theskin.agency/,no,partner,1,6,no,no,278.00841333779056
W65TL86Y,The Beauty NP,30120,"Euharlee, GA 30120, USA",34.15778,-84.87764,admin@mybeautynp.com,aeblack18@gmail.com,+17065753955,7065753955,17 Public Square,Cartersville,GA,30120,US,17 S Public Square,,Cartersville,GA,US,30120,https://www.mybeautynp.com/,no,bronze,2,5,yes,no,278.00841333779056
TVACHXNU,"The Alfa Doc, LLC",99688,"Willow, AK 99688, USA",61.985855,-149.464752,jobee@thealfadoc.com,jobee@thealfadoc.com,9078352532,9078352532,154 Fairbanks Drive,Valdez,AK,99688,US,154 Fairbanks Drive,,Valdez,AK,US,99688,https://www.thealfadoc.com/,no,partner,1,6,yes,no,311.53722355456864
K5YVZGCD,Modern Gynecology and Skin,99508,"Anchorage, AK 99508, USA",61.199547,-149.823975,jillian@moderngynalaska.com,jillian@moderngynalaska.com,9073390363,9073390363,3851 Piper Street,Anchorage,AK,99508,US,3851 Piper Street,Unit 471,Anchorage,AK,US,99508,http://moderngynalaska.com,no,partner,1,6,yes,no,358.23475407645293
zzX3FKg6,Coastal Aesthetics PLLC,98221,"Anacortes, WA 98221, USA",48.501343,-122.64032,eryn.beaupre@gmail.com,eryn.beaupre@gmail.com,5108616093,5108616093,2013 L Ave,Anacortes,WA,98221,US,1610 Commercial Ave,Suite A,Anacortes,WA,US,98221,https://www.coastalaestheticsanacortes.com/,no,partner,1,6,yes,no,2547.016136313184
7YWHF0YK,North Coast Eye Care,98382,"Sequim, WA 98382, USA",48.02177,-123.12738,myhuynh.od23@gmail.com,myhuynh.od23@gmail.com,3607971148,3607971148,131 Village Ln,Sequim,WA,98382,US,560 N 5th Ave,,Sequim,WA,US,98382,,no,no_tier,0,99,no,no,2568.297968876522
FGDQ93XD,SolGloBeauty,98282,"Camano, WA 98282, USA",48.171272,-122.487617,solglobethany@gmail.com,solglobethany@gmail.com,6198479501,6198479501,606 NE Camano Dr,Camano Island,WA,98282,US,606 NE Camano Dr,,Camano Island,WA,US,98282,,no,partner,1,6,yes,no,2583.143750623403
MY5I0CW2,Eric Bergstrom OD PLLC (DBA Eye Clinics of Seattle),98109,"Seattle, WA 98109, USA",47.62886,-122.345695,drmichalko@ecseattle.com,ap.roosevelt@ecseattle.com,2062828120,2062828120,6618 Roosevelt Way NE,Seattle,WA,98115,US,20 Boston St.,,Seattle,WA,US,98109,,no,no_tier,0,99,no,no,2637.9830432589742
63E3FYN2,Dr Scott Campbell,98101,"Seattle, WA 98101, USA",47.608494,-122.336411,krista606@msn.com,krista606@msn.com,2069841764,2069841764,509 Olive Way ,Seattle,WA,98101,US,509 Olive Way,STE 303,Seattle,WA,US,98101,https://spexseattle.com/,no,partner,1,6,yes,no,2640.22393382629
KXNTG2JJ,Lifted Beauty & Wellness,98122,"Seattle, WA 98122, USA",47.608757,-122.296425,beth@liftedbeautyandwellness.com,beth@liftedbeautyandwellness.com,2062991102,2062991102,3317 E Union St,Seattle,WA,98122,US,3317 E Union St,,Seattle,WA,US,98122,https://www.liftedbeautyandwellness.com/,no,bronze,2,5,yes,no,2641.963155264344
EJBGJ8PG,"Joshlene D Sandhu, PLLC",98004,"Bellevue, WA 98004, USA",47.62648,-122.205147,jsandhu@airiseye.com,Jsandhu@airiseye.com,9175445801,9175445801,1414 116th Ave NE,Bellvue,WA,98004,US,1414 116th Ave NE,Suite B,Bellevue,WA,US,98004,https://airiseye.com/,no,partner,1,6,yes,no,2644.3980918031502
QGEUZ75L,Partington Plastic Surgery & Laser Center,98005,"Bellevue, WA 98005, USA",47.615044,-122.171761,info@partingtonps.com,info@partingtonps.com,4252471895,4252471895,12301 NE 10th Place,Bellevue,WA,98005,US,12301 NE 10th Place,Suite 100,Bellevue,WA,US,98005,https://partingtonps.com/,no,partner,1,6,yes,no,2646.899976674989
GF52KETC,Empowered Health Corp,98405,"Tacoma, WA 98405, USA",47.245708,-122.477341,info@empoweredmedspa.com,shanlf1986@yahoo.com,2532404543,2532404543,1310 S Union Ave,Tacoma,WA,98405,US,1310 S Union Ave,A301,Tacoma,WA,US,98405,https://empoweredmedspa.com/,no,partner,1,6,yes,no,2666.7762083560283
8YRNR4GH,Keybridge Wellness and Spa,98513,"Olympia, WA 98513, USA",46.995937,-122.731972,kczimm.rn@gmail.com,kczimm.rn@gmail.com,3603343216,3603343216,3516 7th Ave SW,Olympia,WA,98502,US,3516 7th Ave Sw,,Olympia,WA,US,98513,https://keybridgewellness.com/,no,partner,1,7,yes,no,2678.34589481716
8MZFEMUV,Honey Rose Aesthetics,98373,"Puyallup, WA 98373, USA",47.147411,-122.32399,ashley@hraskin.com,ashley@hraskin.com,2537532332,2537532332,8114 112th st ct east,Puyallup,WA,98373,US,8114 112th St Ct,Ste A,Puyallup,WA,US,98373,http://www.hraskin.com/,no,bronze,2,5,no,no,2682.3994788346017
SU7M2RMS,Velvet Skin Aesthetics LLC,98841,"Omak, WA 98841, USA",48.373447,-119.33226,ann_hover@hotmail.com,ann_hover@hotmail.com,5094295972,5094295972,61 Kirkpatrick Rd. N,Omak,WA,98841,US,208 S. Main Street,,Omak,WA,US,98841,,no,partner,1,6,no,no,2707.747887119352
RGTJXG58,SEEN Modern Eyecare + Eyewear,98642,"Ridgefield, WA 98642, USA",45.796841,-122.693146,drrob@seenmoderneyecare.com,drrob@seenmoderneyecare.com,3608877336,3608877336,201 S 47th Ave,Ridgefield,WA,98642,US,201 S 47th Ave,Suite 117,Ridgefield,WA,US,98642,,no,no_tier,0,99,no,no,2790.2046523979743
BT2SK767,Precision Eye Care,98662,"Vancouver, WA 98662, USA",45.689449,-122.582901,drchan@pecps.com,drchan@pecps.com,3602545855,3602545855,8400 NE VANCOUVER MALL LOOP,Vancouver,WA,98662,US,8400 NE VANCOUVER MALL LOOP,Suite 110,Vancouver,WA,US,98662,https://pecps.com/,no,partner,1,6,yes,no,2804.8843669935454
3QNGJQ7A,"Yakima Vision Center, P.C",98902,"Yakima, WA 98902, USA",46.592621,-120.536346,tiffany@yakimavision.com,tiffany@yakimavision.com,5099655200,5099655200,2010 W Lincoln Ave,Yakima,WA,98902,US,2010 West Lincoln Avenue,Suite 1,Yakima,WA,US,98902,https://yakimavision.com/,no,partner,1,6,no,no,2811.530768067159
2MQ7ZDXD,The Oregon Clinic,97225,"Portland, OR 97225, USA",45.506451,-122.77562,vbuenrostroavalos@orclinic.com,vbuenrostroavalos@orclinic.com,5034882344,5034882344,847 NE 19th Ave,Portland,OR,97232,US,9155 SW Barnes Road,Suite 532,Portland,AL,US,97225,https://www.oregonclinic.com/,no,partner,1,6,no,no,2813.6487072862983
KM72Z5NC,Midnight Aesthetics LLC,97219,"Portland, OR 97219, USA",45.461807,-122.718193,midnightaestheticspdx@gmail.com,midnightaestheticspdx@gmail.com,5413102870,5413102870,8632 SW 11th Ave,Portland,OR,97219,US,8632 SW 11th Ave,,Portland,OR,US,97219,https://www.instagram.com/spftilldeath/,no,partner,1,6,yes,no,2820.253165706148
XE2E8G9V,Refresh Aesthetics,99217,"Spokane, WA 99217, USA",47.73151,-117.267685,refreshspokanebeauty@gmail.com,refreshspokanebeauty@gmail.com,5093809495,5093809495,9111 E Bigelow Gulch Rd,Spokane,WA,99217,US,9111 E Bigelow Gulch Rd,,Spokane,WA,US,99217,https://www.refreshspokane.com/,no,partner,1,6,no,no,2858.971532151348
