store_name,address,city,state,zip_code,phone_number,email,website
Lumily Lash & Brow,"20121 West Lake Houston Pkwy, #1000",Humble,TX,,8329554996,lumilylashbrows@gmail.com,
Emily Anne Esthetics,"372 South Independence Blvd, #103",Virginia Beach,Virginia,,7577444218,emilyanne.esthetics@outlook.com,www.emilyanneesthetics.com
Bella Beautee Skin,"4425 Plano Pkwy, #1304",Carrollton,TX,,2145098209,bellabeauteeskin@gmail.com,bellaBeauteeSkin.Com
Vanity Face Designs by Tabita,301 N Pine Island Rd,Plantation,FL,,(754) 779-3396,Vanityfacedesigns@gmail.com,https://www.vanityfacedesigns.com/
Spa Nicole,"6819 York Ave S, #134",Edina,Minnestoa,,(612) 396-5797,,
The Stillwater Wellness Center,"13635 E 104th Ave, #150",Commerce City,Colorado,,720-690-4699,Thelittleorchidas@gmail.com,https://www.vagaro.com/thestillwaterdayspa
Pink Beauty Room,"730 W. Sand lake rd, #170",Orlando,Florida,,843-224-0079,,
Illume Brow and Skin Studio,"3355 N Lincoln Ave, #19",Chicago,IL,,773-980-6759,dean@illumebrowskinstudio.com,www.illumebrowskinstudio.com
On Cloud Nine Skincare + Bliss,"202 S 1st Ave, #202A",Yuma,AZ,,928-916-6147,elisa@oncloudnineyuma.com,https://oncloudnineyuma.com/
Raleigh Laser & Aesthetics,"5520 McNeely Drive, #204",Raleigh,North Carolina,,(919) 747-9912,kathleen.citron@foundationmed.com,www.raleighlaseraesthetics.com
Northern Aura Wellness,"688 Hague Avenue, #22",St. Paul,Minnesota,,,,https://www.northernaurawellness.com/
Skin Essentials Spa,"3705 Lakeview parkway, #300A",Rowlett,Tx,,469-912-1553,morganschimmel@yahoo.com,
Beauty by Ashlen,"25 14th Ave S, #35 Down Stairs",Nampa,ID,,15624817901,beautybyashlen@yahoo.com,http://beautybyashlen.com/
The Beauty Bar Salon,"5894 Fulton Drive NW, #B",Canton,OH,,(330) 208-7070,tarafuss@gmail.com,https://www.facebook.com/thedreamsalonboutique/
Lisa Nadler Skin Care and Waxing,"Located inside: Phenix Salon Suites, 1979 East 17th Street, Suite 110",Santa Ana,California,,(714) 654-8234,,www.lisanadlerskincareandwaxing.com
Bare Skin Facial and Waxing Studio,"2921 E. Jefferson, 3rd Floor",Detroit,Michigan,,313-326-3700,,www.bareskindetroit.com
SKINdulgence Skincare Studio,"519 American Legion Highway, Build 4",Westport,Massachusetts,,(508) 493-5880,amy.skindulgence@gmail.com,
Inner Glow Skin Care & Waxing Studio,"26689 Pleasant Park Rd, Building A, Suite 230",Conifer,Colorado,,720-343-9582,billy@myinnerglowskincare.com,https://www.myinnerglowskincare.com/
Essential Skincare,"6721 5th Ave, Building B Suite 202",Sylvania,Ohio,,,,
Solange & Sunny,"Royal Palm Place, Friars Hill Road",St. John’s,Antigua,,1(268)463-0609,contact@solangeandsunny.com,www.solangeandsunny.com
Serenity by the Sea Spa- Hilton San Destin Beach,"4000 Sandestin Blvd S, Hilton San Destin Beach Golf Resort and Spa",Miramar Beach,FL,,(850) 267-9685,cpirc@hiltonsandestinbeach.com,ttps://hiltonsandestinbeach.com/serenity-by-the-sea
"The Salon Professional Academy, Howell, NJ","4741 US Hwy 9, Howell Commons (next to Old Navy)",Howell,NJ,,732-719-4155,info@tspahowell.com,www.tspahowell.com
Ari Wax Skin,15 West Montgomery Ave,Rockville,Maryland,,240 949 2575,ariwaxskin@gmail.com,https://www.ariwaxskin.com/
Salon Lofts in Savannah Park,"4720 International Parkway, Loft #9",Sanford,Florida,,(407) 461-4061,,
Spa Nineteen,"19 W 1st Street, Lower Level",Hinsdale,IL,,630-819-8107,Info.spanineteen@gmail.com,https://square.site/book/6K5PYDAM5XH2K/spa-nineteen-hinsdale-il
My Beautique Boston,"41 Putnam St, Office D",Winthrop,MA,,617-505-8026,mybeautiqueboston@gmail.com,https://www.mybeautiqueboston.com/
Forever Valentine,"1901 South 9th Street, Room 529",Philadelphia,PA,,(856) 371-4275,forevervalentinebeauty@gmail.com,https://www.forevervalentinebeauty.com/
Posh Skin Lab,"8335 Westchester Dr #10, Room 66 & 67",Dallas,TX,,(469) 647-6632,info@poshskinlab.com,https://www.poshskinlab.com/
Lancaster’s Luxe Lashes and Spa LLC,805 Estelle Drive Suite 108A,Lancaster,Pennsylvania,,717-537-9987,info@lancastersluxelashes.com,
L'ambiance Divine Inc,"11900 Biscayne Blvd, Spa D",Miami,FL,,(904) 226-0015,Lambiancedivine@gmail.com,
My Moroccan Spa,"930 Mason Street, Ste 101",Dearborn,Michigan,,313-551-3583,info@mymoroccanspa.com,www.mymoroccanspa.com
Renewed Skin Spa,"308 W Parkwood Ave, Ste 106",Friendswood,TX,,6027754616,Makennahfw@gmail.com,Renewedskinspa.glossgenius.com
