store_name,address,city,state,zip_code,phone_number,email,website
Abundance,"225 S. Cabrillo Hwy Suite 106-D, Half Moon Bay, CA, 94019",,CA,94019,650-560-9600,info@abundnaceskincare.com,
Ageless Complexions by Karen,"881 Dover Drive Suite 150, Newport Beach, CA, 92660",,CA,92660,714-376-1256,Kchangeofface@gmail.com,https://www.agelesscomplexionskincare.com
Arrowhead Alpine Club- Vail Resorts,"160 Cresta Rd, Edwards, CO, 81632",,CO,81632,970-754-6757,jturner@vailresorts.com,www.arrowheadclub.mtnclubs.com
Beautique Medical Spa,"501 North Ware Road, Mc Allen, TX, 78501",,TX,78501,956-664-1234,mail@beautiquemedicalspa.com,www.beautiquemedicalspa.com
Coastal Skincare,"428 Poli #2C, Ventura, CA, 93001",,CA,93001,805-641-2345,info@coastalskincare.net,www.coastalskincare.net
Darya Salon,"7 South Beach Street, Nantucket, MA, 02554",,MA,2554,508.228.0550,info@daryasalon.com,www.daryasalon.com
Elite Therapeutics Body & Skin Care,"136 N Orchard St. Suite #7, Ormond Beach, FL, 32174",,FL,32174,386-256-4742,thepinar4@aol.com,www.elitetherapeutic.com
EnLighten Skin & Makeup,"Tampa & Florida, FL, 34655",,FL,34655,727-457-6322,dawnmariestar@gmail.com,
Eva Magyar Skin Care,"234 East 17th Street, Suite 112, Costa Mesa, CA, 92627",,CA,92627,949-515-2568,eva@anet.net,
Floating Lotus Spa,"2441 NW 43rd Street, Ste 3A, Gainesville, FL, 32606",,FL,32606,352-378-8125,floatinglotusspa@gmail.com,www.thefloatinglotusspa.com
Inspiration Day Spa,"325 Sharon Park Dr Suite 4D, Menlo Park, CA, 94025",,CA,94025,650-854-5885,info@inspirationdayspa.com,www.inspirationdayspa.com
Loma Medspa,"10520 S. DeAnza Blvd. Suite A, Cupertino, CA, 95014",,CA,95014,408-252-6852,lomaspa@att.net,http://www.yelp.com/biz/loma-spa-cupertino
Looks Skin Boutique,"10 N. Norton Ave. Suite 100, Tucson, AZ, 85719",,AZ,85719,520-624-5665,looksskin@gmail.com,
Lori Schmidt,"Las Vegas, NV, 89129",,NV,89129,805-640-5867,,
Patricia Redman,"555 West Granada Blvd Suite E-6, Ormond Beach, FL, 32174",,FL,32174,368-214-0402,Patriciaredman@ymail.com,
Refresh Rejuvenating Spa and Salon,"25 Candee Hill Rd. , Watertown, CT, 06795",,CT,6795,860-417-6888,refresh@refreshspasalon.com,www.refreshspasalon.com
Serendipity,"2144 Bonita Ave, La Verne, CA, 91750",,CA,91750,909-596-9933,,www.serendipityhandsfacefeet.com
Shonnie Colando,"Port St. Lucie, FL, 34986",,FL,34986,330-819-0820,shonniec@hotmail.com,
Skin Essentials,"1482 East Valley Road Suite 6, Santa Barbara, CA, 93108",,CA,93108,805-695-8699,skinessentialsjp@aol.com,www.skin-essentials.com
Skin Technician,"17890 Pasante Rd, Prunedale, CA, 93907",,CA,93907,408-710-4087,Flowerbythec@aol.com,
Skin Wise Spa,"336 Sutter St., San Francisco, CA, 94108",,CA,94108,925-212-9780,fafab2000@gmail.com,www.skinwisespa.com
The Spa- Los Gatos,"100 S Santa Cruz Avenue, Los Gatos, CA, 95030",,CA,95030,408-354-5901,info@thespaoflosgatos.com,www.thespaoflosgatos.com
