name,providerCode,phoneNumber,address,streetAddress1,streetAddress2,city,state,zipCode,country,status,latitude,longitude,createdAt,updatedAt
Duo Wellness,duo-wellness,202-670-9590,"2500 Wisconsin Ave NW, Suite 112, Washington, DC, 20007, USA",2500 Wisconsin Ave NW,Suite 112,Washington,DC,20007,USA,Active,38.9228966,-77.0739414,2025-10-17T23:59:50.000Z,2025-10-29T17:35:31.000Z
Savage Skin LLC,savage-skin-llc,843-368-9629,"2 Marshland Rd, Hilton, HiltonHead Island, SC, 29926, USA","2 Marshland Rd, Hilton",,HiltonHead Island,SC,29926,USA,Active,32.2057068,-80.7029029,2025-10-17T23:59:51.000Z,2025-10-17T23:59:51.000Z
Skincare by Wendy,skincare-by-wendy,6313393766,"40 South Main Street, Sayville, NY, 11782, USA",40 South Main Street,,Sayville,NY,11782,USA,Active,40.7360546,-73.0815239,2025-10-17T23:59:51.000Z,2025-10-17T23:59:51.000Z
Mosaic Medicine,mosaic-medicine,605-545-4109,"2800 Jackson Blvd, Suite 2, Rapid City, SD, 57702, USA",2800 Jackson Blvd,Suite 2,Rapid City,SD,57702,USA,Active,44.0694892,-103.2658598,2025-10-17T23:59:51.000Z,2025-10-17T23:59:51.000Z
Live Oak Med Spa,live-oak-med-spa,9104779038,"5130 Southport Supply Rd, Suite 101-2, Southport, NC, 28461, USA",5130 Southport Supply Rd,Suite 101-2,Southport,NC,28461,USA,Active,33.9523289,-78.04424089999999,2025-10-17T23:59:51.000Z,2025-10-17T23:59:51.000Z
Real Skin Aesthetics,real-skin-aesthetics,8475050116,"1883 2nd St. , Studios 19 & 20, Highland Park, IL, 60035, USA",1883 2nd St. ,Studios 19 & 20,Highland Park,IL,60035,USA,Active,42.1867896,-87.80146119999999,2025-10-17T23:59:52.000Z,2025-10-17T23:59:52.000Z
HOUS OF ESTHETICS,hous-of-esthetics,9176178794,"7342 68TH AVENUE, MIDDLE VILLAGE, NY, 11379, USA",7342 68TH AVENUE,,MIDDLE VILLAGE,NY,11379,USA,Active,40.7105682,-73.8772922,2025-10-17T23:59:52.000Z,2025-10-17T23:59:52.000Z
Ziba Medical Aesthetics,ziba-medical-aesthetics,8562907844,"241A Kings Hwy E, Haddonfield, NJ, 08033, USA",241A Kings Hwy E,,Haddonfield,NJ,08033,USA,Active,39.8991978,-75.0302513,2025-10-17T23:59:53.000Z,2025-10-17T23:59:53.000Z
Thorpe Chiropractic and Wellness,thorpe-chiropractic-and-wellness,,"5144 Central Ave, St Petersburg, FL, 33707, USA",5144 Central Ave,,St Petersburg,FL,33707,USA,Active,27.7706279,-82.7033969,2025-10-17T23:59:53.000Z,2025-10-17T23:59:53.000Z
RM Waxing,rm-waxing,325-513-7570,"25075 Arctic Fox Rd, Kasilof, AK, 99610, USA",25075 Arctic Fox Rd,,Kasilof,AK,99610,USA,Active,60.3485604,-151.2724547,2025-10-17T23:59:53.000Z,2025-10-17T23:59:53.000Z
Skincare & Moore,skincare-and-moore,720.503.1100,"2760 E County Line Road, Unit M #115, Highlands Ranch, CO, 80126, USA",2760 E County Line Road,Unit M #115,Highlands Ranch,CO,80126,USA,Active,39.5654384,-104.9550894,2025-10-17T23:59:54.000Z,2025-10-17T23:59:54.000Z
Arch and Ink,arch-and-ink,509-480-7362,"100 W Main Street , Suite #102, Boise, ID, 83702, USA",100 W Main Street ,Suite #102,Boise,ID,83702,USA,Active,43.6117444,-116.195305,2025-10-17T23:59:54.000Z,2025-10-17T23:59:54.000Z
California Esthetic,california-esthetic,619-946-3886,"35197 Sunnyside Dr, Yucaipa, CA, 92399, USA",35197 Sunnyside Dr,,Yucaipa,CA,92399,USA,Active,34.0588737,-117.0366295,2025-10-17T23:59:54.000Z,2025-10-17T23:59:54.000Z
Kapaa Nail and Tanning Salon,kapaa-nail-tanning-salon,(808) 639-7377,"4-901 KUHIO HWY , STE 1A, KAPAA, HI, 96746-1576, USA",4-901 KUHIO HWY ,STE 1A,KAPAA,HI,96746-1576,USA,Active,22.0636135,-159.320008,2025-10-17T23:59:55.000Z,2025-10-23T00:16:26.000Z
Angie Scott Medical Aesthetics,angie-scott-medical-aesthetics,7345686066,"3409 W Sterns Rd., Lambertville, MI, 48144, USA",3409 W Sterns Rd.,,Lambertville,MI,48144,USA,Active,41.7485057,-83.62843099999999,2025-10-17T23:59:56.000Z,2025-10-17T23:59:56.000Z
NakedMD Downey,nakedmd-downey,888-747-0888,"8301 Florence Ave , #104, Downey, CA, 90240, USA",8301 Florence Ave ,#104,Downey,CA,90240,USA,Active,33.9513093,-118.124892,2025-10-17T23:59:56.000Z,2025-10-17T23:59:56.000Z
Lash Line Studio Aesthetics,lash-line-studio-aesthetics,6173137800,"425 Somerville Ave, Somerville, MA, 02143, USA",425 Somerville Ave,,Somerville,MA,02143,USA,Active,42.3821125,-71.1017842,2025-10-17T23:59:56.000Z,2025-10-17T23:59:56.000Z
WAC Chicago,wac-chicago,3129446123,"626 Michigan Ave, Chicago, IL, 60611, USA",626 Michigan Ave,,Chicago,IL,60611,USA,Active,41.8935744,-87.624693,2025-10-17T23:59:57.000Z,2025-10-17T23:59:57.000Z
Contour Body Aesthetics,contour-body-aesthetics,(970) 355-4897,"2425 S Grand Ave., Suite 108, Glenwood Springs, CO, 81601, USA",2425 S Grand Ave.,Suite 108,Glenwood Springs,CO,81601,USA,Active,39.52770539999999,-107.32591,2025-10-17T23:59:57.000Z,2025-10-17T23:59:57.000Z
RA Radiance Med spa,ra-radiance-med-spa,432-940-3157,"106 East 1st St,, Fort Stockton, TX, 79735, USA","106 East 1st St,",,Fort Stockton,TX,79735,USA,Active,30.8853419,-102.878734,2025-10-17T23:59:58.000Z,2025-10-17T23:59:58.000Z
