name,address_line_1,address_line_2,city,state,zip,location,customer_class,loyalty,grade,national_account,national_account_id,phone,website,latitude,longitude
"Bloom and Glow, LLC",751 E. 36th Avenue,"Ste 102, Studio 2",Anchorage,AK,99503,"751 E. 36th Avenue, Anchorage, AK 99503",MEDICALSPA,NONE,N,,,(530) 852-2308,,61.188486,-149.869154
Massage Envy - South Anchorage - 55-1232,"8840 Old Seward Hwy,",,Anchorage,AK,99515,"8840 Old Seward Hwy,, Anchorage, AK 99515",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,61.140366,-149.865092
Aurora Aesthetics Company,2711 Tongass Ave,Ste 201,Ketchikan,AK,99901,"2711 Tongass Ave, Ketchikan, AK 99901",WHOLESALE,NONE,N,,,(907) 204-0725,,55.350696,-131.679612
Beauty And Bliss Esthetics,3400 E Cottle Loop,#200,Wasilla,AK,99654,"3400 E Cottle Loop, Wasilla, AK 99654",WHOLESALE,NONE,E,,,,,61.585624,-149.365188
Chance,3400 E Cottle Loop,Ste 900,Wasilla,AK,99654,"3400 E Cottle Loop, Wasilla, AK 99654",WHOLESALE,NONE,D,,,,,61.585663,-149.363404
Athen's Eye Clinic,111 W Washington St.​​​​,,Athens,AL,35611,"111 W Washington St.​​​​, Athens, AL 35611",MEDICALSPA,NONE,B,,,(256) 777-6796,athenseyeclinic.com,34.802235,-86.970135
Massage Envy - Auburn - 03-1295,2431 East Glenn Ave,,Auburn,AL,36830,"2431 East Glenn Ave, Auburn, Al 36830",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,32.609763,-85.430223
Brooke Lauer,Oak Street Hair Group,125 Oak St,Birmingham,AL,35213,"OAK STREET HAIR GROUP, Birmingham, AL 35213",WHOLESALE,NONE,D,,,,,33.50215,-86.75667
"Daniel Rousso, M.d.",2700 Hwy 280,Ste 300 W,Birmingham,AL,35223,"2700 HWY 280, Birmingham, AL 35223",DOCTOR,NONE,U,,,,,33.480064,-86.775878
Massage Envy - Daphne - 03-1150,6880 US Hwy 90,Ste C4,Daphne,AL,36526,"6880 US Hwy 90, Daphne, AL 36526",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,30.652126,-87.905398
Luxe Esthetic Studio,4440 W Main St,2,Dothan,AL,36305,"4440 W Main St, Dothan, AL 36305",MEDICALSPA,NONE,U,,,,,31.236917,-85.459006
Massage Envy - Palms Terrace - 03-0892,"3430 W. Main Street,",Suite 1,Dothan,AL,36305,"3430 W. Main Street,, Dothan, AL 36305",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,31.230875,-85.443118
Wanda C. Whipple,Skin Deep Aesthetics,1314 Westgate Pkwy Ste 3,Dothan,AL,36303,"SKIN DEEP AESTHETICS, Dothan, AL 36303",WHOLESALE,NONE,D,,,(334) 702-6726,,31.254422,-85.434157
Massage Envy - Gulf Shores - 03-1331,160 Cotton Creek Dr,Suite 220,Gulf Shores,AL,36542,"160 Cotton Creek Dr, Gulf Shores, Al 36542",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,30.298781,-87.681381
MRA Skin Studio,1801 Gunter Ave,,Guntersville,AL,35976,"1801 Gunter Ave, Guntersville, AL 35976",WHOLESALE,NONE,N,,,(256) 960-1419,,34.339707,-86.309549
Massage Envy - Greystone - 03-0701,"250 Doug Baker Blvd., Ste. 500",,Hoover,AL,35242,"250 Doug Baker Blvd., Ste. 500, Hoover, AL 35242",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,33.410679,-86.667185
Massage Envy - Hoover,5519 Grove Blvd,Ste 125,Hoover,AL,35226,"5519 Grove Blvd, Hoover, AL 35226",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,33.361755,-86.85004
Massage Envy - Huntsville Al - 03-0970,"4851 Whitesburg Dr., Ste. C",,Huntsville,AL,35802,"4851 Whitesburg Dr., Ste. C, Huntsville, AL 35802",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,34.692906,-86.566061
Regenesis Stem Cell Center,4025 Pepperwood Circle SW,Suite C,Huntsville,AL,35801,"4025 Pepperwood Circle SW, Huntsville, AL 35801",DOCTOR,GOLD,B,,,,,34.695347,-86.579885
Zula Modern Beauty,927 Merchants Walk,Ste. A,Huntsville,AL,35801,"927 Merchants Walk, Huntsville, AL 35801",MEDICALSPA,NONE,D,,,(256) 994-8700,https://zulamodernmedspa.com/,34.712353,-86.588187
Massage Envy - Madison Al - 03-0845,5923 Wall Triana Hwy,,Madison,AL,35757,"5923 Wall Triana Hwy, Madison, AL 35757",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,34.753378,-86.749356
Massage Envy - Mobile - 03-0841,3659 Airport Boulevard,,Mobile,AL,36608,"3659 Airport Boulevard, Mobile, Al 36608",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,30.675545,-88.131655
Massage Envy - West Mobile - 03-1233,7765 Airport Blvd Ste 150,,Mobile,AL,36608,"7765 Airport Blvd Ste 150, Mobile, Al 36608",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,30.682008,-88.224249
Massage Envy - Eastchase - 03-1098,"2478 Berryhill Rd., Ste. 6",,Montgomery,AL,36117,"2478 Berryhill Rd., Ste. 6, Montgomery, AL 36117",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,32.35813,-86.160714
Massage Envy - Mountain Brook,320 Rele St,Ste D6,Mountain Brook,AL,35223,"320 Rele St, Mountain Brook, AL 35223",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,33.485413,-86.773405
Restore Hyper Wellness (AL001),2800 Cahaba Village Plaza,Ste 210,Mountain Brook,AL,35243,"2800 Cahaba Village Plaza, Mountain Brook, AL 35243",DOCTOR,NONE,E,Restore Hyper Wellness - Parent Account,11061787,(205) 518-5777,,33.461569,-86.754831
Massage Envy - Tuscaloosa - 03-1379,1800 Mcfarland Blvd E,Ste 106,Tuscaloosa,AL,35404,"1800 Mcfarland Blvd E, Tuscaloosa, Al 35404",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,33.194722,-87.527211
Beauty Boss Co.,1604 S Pine St,Ste C,Cabot,AR,72023,"1604 S Pine St, Cabot, AR 72023",MEDICALSPA,SILVER,N,,,(501) 628-8642,https://beautyboss.co,34.946992,-92.009223
Massage Envy - Conway - 27-1358,1040 S Amity Rd,Ste K,Conway,AR,72032,"1040 S Amity Rd, Conway, AR 72032",MECLASS,NONE,U,Massage Envy Franchising,11041861,,,35.064568,-92.41184
Lil Saucie Brows,200 W Center St #4,,Fayetteville,AR,72701,"200 W Center St #4, Fayetteville, AR 72701",WHOLESALE,NONE,N,,,,https://www.lilsauciebrows.com/,36.063071,-94.161975
Necee Aesthetics and Wellness Spa LLC,25946 Hwy 167,,Hensley,AR,72065,"25946 Hwy 167, Hensley, AR 72065",WHOLESALE,SILVER,U,,,(501) 628-7456,,34.53396,-92.336139
Ageless Aesthetics of Arkansas,135 Medical Park Pl,,Hot Springs,AR,71901,"135 Medical Park Pl, Hot Springs, AR 71901",MEDICALSPA,SILVER,N,,,,,34.488293,-93.03325
Elevated Esthetics,509 SW Dr,#a,Jonesboro,AR,72401,"509 SW Dr, Jonesboro, AR 72401",MEDICALSPA,GOLD,A,,,,,35.815993,-90.710734
Beauty by ACQ,5817 1/2 Kavanaugh Blvd.,,Little Rock,AR,72207,"5817 1/2 Kavanaugh Blvd., Little Rock, AR 72207",WHOLESALE,NONE,N,,,(501) 291-2014,https://acqbeauty.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn0XC80l9RHX9NZrbnBlndPMlFbCzay3DTWxuyVCt9V5O2kUZcCxYKajLdZ4A_aem_Vj5wXhrhvyU7lF4nnVS-oQ,34.769892,-92.339144
Massage Envy - Midtowne Little Rock - 27,209 N University Ave Ste 200,,Little Rock,AR,72205,"209 N University Ave Ste 200, Little Rock, Ar 72205",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,34.752589,-92.338936
The Refinery (Aesthetics and Wellness) PLLC,104 Wind River Dr.,,Maumelle,AR,72113,"104 Wind River Dr., Maumelle, AR 72113",MEDICALSPA,NONE,D,,,,,34.74369,-92.367121
LC Aesthetics and Wellness,9228 Maumelle Blvd N,,N Little Rock,AR,72113,"9228 Maumelle Blvd N, N Little Rock, AR 72113",MEDICALSPA,NONE,U,,,,,34.814487,-92.363336
"Absolute Health, LLC",300 Pine St,,Rison,AR,71665,"300 Pine St, Rison, AR 71665",MEDICALSPA,NONE,N,,,(870) 718-1249,,33.958507,-92.191951
Do More NWA LLC,4204 S JB Hunt Dr.,Ste 70,Rogers,AR,72758,"4204 S JB Hunt Dr., Rogers, AR 72758",DOCTOR,NONE,N,Restore Hyper Wellness - Parent Account,11061787,(479) 936-1325,,36.295684,-94.184577
"MOLLY O'MEARA Aesthetics, LLC",216 E Chestnut St,Ste B,Rogers,AR,72756,"216 E Chestnut St, Rogers, AR 72756",WHOLESALE,NONE,N,,,216,https://moadermalounge.com/,36.333588,-94.11421
Massage Envy - Pleasant Grove - 27-0480,"2603 Pleasant Grove Road, STE 114",,Rogers,AR,72756,"2603 Pleasant Grove Road, STE 114, Rogers, AR 72756",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,36.284609,-94.152896
Massage Envy - Avondale - 02-0336,9945 West McDowell Suite 107,,Avondale,AZ,85323,"9945 West McDowell Suite 107, Avondale, AZ 85323",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.463786,-112.273619
The Spa at Victory Club,5325 North Verrado Way,,Buckeye,AZ,85396,"5325 North Verrado Way, Buckeye, AZ 85396",WHOLESALE,NONE,E,The Spa at Victory Club,11066833,,,33.496757,-112.513231
MASSAGE ENVY - South Chandler - 0141,4985 S Alma School Road,Suite 1,Chandler,AZ,85248,"4985 S Alma School Road, Chandler, AZ 85248",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.234521,-111.856611
Massage Envy - Chandler - 02-0008,2510-7 W Chandler Blvd,,Chandler,AZ,85224,"2510-7 W Chandler Blvd, Chandler, Az 85224",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.306411,-111.885644
Massage Envy - Chandler Crossroads - 02-,"2880 E. Germann Rd., Ste. 7",,Chandler,AZ,85286,"2880 E. Germann Rd., Ste. 7, Chandler, AZ 85286",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,33.281309,-111.790927
Paraiso Skin Care,500 W Ray Rd,Ste 2A,Chandler,AZ,85225,"500 W RAY RD, Chandler, AZ 85225",WHOLESALE,SILVER,D,,,,,33.321252,-111.848801
Restore Hyper Wellness - S Chandler (AZ003),2895 S. Alma School Rd,Ste 8,Chandler,AZ,85286,"2895 S. Alma School Rd, Chandler, AZ 85286",DOCTOR,SILVER,D,Restore Hyper Wellness - Parent Account,11061787,(480) 999-4970,,33.263924,-111.857504
Skin Bliss by Mariss,Located within Leidan Mitchell Salon,2177 W Queen Creek Rd,Chandler,AZ,85248,"Located within Leidan Mitchell Salon, Chandler, AZ 85248",WHOLESALE,SILVER,D,,,,,33.270438,-111.847846
Massage Envy - Flagstaff - 02-0558,1235 S Plaza Way,,Flagstaff,AZ,86001,"1235 S Plaza Way, Flagstaff, Az 86001",MECLASS,NONE,D,Massage Envy Franchising,11041861,,,35.189065,-111.664081
Bellissima Skin Enhancement,1753 N. Higley,Suite 101 Room#3,Gilbert,AZ,85234,"1753 N. Higley, Gilbert, AZ 85234",MEDICALSPA,NONE,E,,,,,33.381873,-111.720906
Massage Envy - Gilbert - 02-0005,"865 North Gilbert Rd., Ste 102-103",,Gilbert,AZ,85234,"865 North Gilbert Rd., Ste 102-103, Gilbert, AZ 85234",MECLASS,NONE,A,Massage Envy Franchising,11041861,,,33.366163,-111.789274
Massage Envy - Gilbert Highland - 02-029,"1458 N. Higley Road, Ste. 103",,Gilbert,AZ,85234,"1458 N. Higley Road, Ste. 103, Gilbert, AZ 85234",MECLASS,NONE,E,Massage Envy Franchising,11041861,,,33.37682,-111.722945
Massage Envy - San Tan - 02-0075,"2270 Williams Field Rd., Ste. 110",,Gilbert,AZ,85295,"2270 Williams Field Rd., Ste. 110, Gilbert, AZ 85295",MECLASS,NONE,C,Massage Envy Franchising,11041861,,,33.311342,-111.741763
Desirable Skin,18275 N 59th Ave,Suite 126,Glendale,AZ,85308,"18275 N 59th Ave, Glendale, AZ 85308",MEDICALSPA,NONE,N,,,,,33.651855,-112.186224
